"series_id","name","url","season","format","max_innings"
793155,"Asian Cricket Council Under-19 Premier League","https://www.espncricinfo.com/series/asian-cricket-council-under-19-premier-league-2014-15-793155","2014/15","test",4
771815,"New Zealand Cricket Women's One Day Competition","https://www.espncricinfo.com/series/new-zealand-cricket-womens-one-day-competition-2014-15-771815","2014/15","odi",2
815945,"CSA Cubs Week","https://www.espncricinfo.com/series/csa-cubs-week-2014-15-815945","2014/15","test",4
806105,"ICC World Cup Warm-up Matches","https://www.espncricinfo.com/series/icc-world-cup-warm-up-matches-2014-15-806105","2014/15","test",4
858805,"United Arab Emirates Women's International Series","https://www.espncricinfo.com/series/united-arab-emirates-womens-international-series-2014-15-858805","2014/15","test",4
777401,"Karnataka Premier League","https://www.espncricinfo.com/series/karnataka-premier-league-2014-15-777401","2014/15","test",4
777773,"Asian Games Women's Cricket Competition","https://www.espncricinfo.com/series/asian-games-womens-cricket-competition-2014-15-777773","2014/15","test",4
777895,"Asian Games Men's Cricket Competition","https://www.espncricinfo.com/series/asian-games-mens-cricket-competition-2014-15-777895","2014/15","test",4
781095,"Under-19 Coca-Cola T20 Schools Challenge","https://www.espncricinfo.com/series/under-19-coca-cola-t20-schools-challenge-2014-15-781095","2014/15","t20i",2
788961,"Eid T20 Challenge","https://www.espncricinfo.com/series/eid-t20-challenge-2014-15-788961","2014/15","t20i",2
786707,"Australian Women's Twenty20 Cup","https://www.espncricinfo.com/series/australian-womens-twenty20-cup-2014-15-786707","2014/15","t20i",2
790419,"Murali Harmony Cup Twenty20 Tournament","https://www.espncricinfo.com/series/murali-harmony-cup-twenty20-tournament-2014-15-790419","2014/15","t20i",2
790421,"Murali Harmony Cup Twenty20 Women's Tournament","https://www.espncricinfo.com/series/murali-harmony-cup-twenty20-womens-tournament-2014-15-790421","2014/15","t20i",2
771813,"New Zealand Cricket Women's Twenty20","https://www.espncricinfo.com/series/new-zealand-cricket-womens-twenty20-2014-15-771813","2014/15","t20i",2
807597,"Nelson Mandela Legacy Cup","https://www.espncricinfo.com/series/nelson-mandela-legacy-cup-2014-15-807597","2014/15","test",4
819065,"AWCC T20 Trophy","https://www.espncricinfo.com/series/awcc-t20-trophy-2014-15-819065","2014/15","t20i",2
811107,"ACC Twenty20 Cup","https://www.espncricinfo.com/series/acc-twenty20-cup-2014-15-811107","2014/15","t20i",2
824111,"Varsity Cricket Tournament","https://www.espncricinfo.com/series/varsity-cricket-tournament-2014-15-824111","2014/15","test",4
833591,"Coca-Cola Schools T20 Challenge","https://www.espncricinfo.com/series/coca-cola-schools-t20-challenge-2014-15-833591","2014/15","t20i",2
851493,"Barbados T20 Cup","https://www.espncricinfo.com/series/barbados-t20-cup-2014-15-851493","2014/15","t20i",2
858655,"ICC World Cricket League Africa Region Division One Twenty20","https://www.espncricinfo.com/series/icc-world-cricket-league-africa-region-division-one-twenty20-2014-15-858655","2014/15","t20i",2
774277,"Bangladesh Under-19s in Sri Lanka Youth Test Series","https://www.espncricinfo.com/series/bangladesh-under-19s-in-sri-lanka-youth-test-series-2014-15-774277","2014/15","test",4
